Číslo aktivity,ČVS,Rok zaevidovania,Rok aktivity,Druh aktivity,Katastrálne územie,Obec,Poloha,Okres,Vedúci výskumu,Autor - NS,Inštitúcia,Číslo akcie,Datovanie - NS,Datovanie - CEANS,Druh náleziska - pôvodná hodnota,Datovanie-druh náleziska,Stupeň lokalizácie,Existuje GIS väzba,Súradnica X,Súradnica Y,Malá/veľká
č.a. 31180,21130,2023,2023,nálezová správa - interná,Banská Štiavnica,Banská Štiavnica,"Novostavba kópie baníckeho domu, Horná ružová 16, p.č. 3519, 3521",Banská Štiavnica,Fottová E.,"Fottová E., Labuda J., Debnár P.",,37/2023,negatívne,negatívne,,,1,TRUE,-1257640.841,-438428.064,malá
č.a. 31268,21131,2024,2024,nálezová správa - interná,Nemecký Svodín,Svodín,Busahegy,Nové Zámky,Pavúková V.,Hukeľová Z.,,,Lengyelská,,,,3,TRUE,-1316085.364,-472288.6391,veľká
č.a. 31375,21132,2024,2023,nálezová správa - externá,Mlynárce,Nitra,"Areál Štúrova, p.č. 221/27, 221/30-35, 221/179, 221/180, 221/131",Nitra,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",Pamarch s.r.o.,,negatívne,negatívne,,,1,TRUE,-1268144.01,-502638.4541,malá
č.a. 31376,21133,2024,2023,nálezová správa - externá,Zobor,Nitra,"Prístavba a stavebné úpravy hydraulického laboratória KKI SPU v Nitre, p.č. 4582, 4584, 4579, 4585/ 1, 4594/3, 4585/2",Nitra,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",Pamarch s.r.o.,,"Doba bronzová, Novovek","BZ-st, NV-19, NV-20",sídlisko,"Doba bronzová - stará - sídlisko, Novovek - 19. storočie - sídlisko, Novovek - 20. storočie - sídlisko",1,TRUE,-1268020.636,-498684.4546,malá
č.a. 31359,21134,2024,2024,nálezová správa - interná,Lukáčovce,Lukáčovce,"Jutrá, lok. 2, p.č. 1495/2",Nitra,Fusek G.,Fusek G.,ArÚ SAV,12/2024,Nedatovateľné,NX,sídlisko,Nedatovateľné - sídlisko,1,TRUE,-1258898.7,-510255.5736,malá
č.a. 31360,21135,2024,2024,nálezová správa - interná,Lukáčovce,Lukáčovce,"Farské, lok. 20, p.č. 1495/1",Nitra,Fusek G.,Fusek G.,ArÚ SAV,13/2024,"Doba bronzová-čakanská, Doba laténska, Stredovek vrcholný","BZ-ca, LT, ST-vr",sídlisko,"Doba bronzová - čakanská - sídlisko, Doba laténska - sídlisko, Stredovek - vrcholný - sídlisko",1,TRUE,-1258200.072,-510819.2699,malá
č.a. 31361,21136,2024,2024,nálezová správa - interná,Lukáčovce,Lukáčovce,"Farské, lok. 21, p.č. 1495/1",Nitra,Fusek G.,Fusek G.,ArÚ SAV,14/2024,Doba laténska,LT,sídlisko,Doba laténska - sídlisko,1,TRUE,-1258405.988,-510729.0188,malá
č.a. 31362,21137,2024,2024,nálezová správa - interná,Lukáčovce,Lukáčovce,"Diely, lok. 25a, p.č. 2031/4",Nitra,Fusek G.,Fusek G.,ArÚ SAV,15/2024,"Doba rímska, Novovek","RI, NV",sídlisko,"Doba rímska - sídlisko, Novovek - sídlisko",1,TRUE,-1260387.216,-508088.4562,malá
č.a. 31363,21138,2024,2024,nálezová správa - interná,Rišňovce,Rišňovce,"Dúle, Pri Dúlskej studienke, sek, 3V, 3S, 3Z, p.č. 510/2, 512",Nitra,Fusek G.,Fusek G.,ArÚ SAV,16/2024,"Doba bronzová, Doba rímska-mladšia, Doba rímska-3.stor., Doba rímska-4.stor.,Novovek","BZ, RI-ml, ST-15, NV-18, NV-19",sídlisko,"Doba bronzová - sídlisko, Doba rímska - mladšia - sídlisko, Doba rímska - 3. storočie - sídlisko, Doba rímska - 4. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko, Novovek - 20. storočie - sídlisko",1,TRUE,-1263271.719,-512039.0167,malá
č.a. 31364,21139,2024,2024,nálezová správa - interná,Rišňovce,Rišňovce,"Dúle, sektor 1J, južný kút poľa, p.č. 510/2",Nitra,Fusek G.,Fusek G.,ArÚ SAV,17/2024,Doba bronzová-maďarovská,BZ-ma,sídlisko,Doba bronzová - maďarovská - sídlisko,1,TRUE,-1263242.583,-512356.6479,malá
č.a. 31365,21140,2024,2024,nálezová správa - interná,Rišňovce,Rišňovce,"Dúle, sektor 1V, 1J, pozdĺž aleje, p.č. 510/2, 383/6",Nitra,Fusek G.,Fusek G.,ArÚ SAV,18/2024,"Doba bronzová, Doba rímska-mladšia, Novovek","BZ, RI-ml, NV-18, NV-19, NV-20",sídlisko,"Doba bronzová - sídlisko, Doba rímska - mladšia - sídlisko, Doba rímska - 3. storočie - sídlisko, Doba rímska - 4. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko, Novovek - 20. storočie - sídlisko",1,TRUE,-1263193.669,-512336.3423,malá
č.a. 31377,21141,2024,2023,nálezová správa - externá,Hájniky,Sliač,"RD, p.č. 115/1,2, 116",Zvolen,Hrašková E.,"Ithaka BB, s.r.o., Hrašková E.","Ithaka BB, s.r.o.",,Novovek,NV,sídlisko,Novovek - sídlisko,1,TRUE,-1241530.505,-419346.6082,malá
č.a. 31380,21142,2024,"2020, 2021, 2022",nálezová správa - externá,Šalgočka,Šalgočka,"RD č.9, p.č. 58/2,1, 57/2,5",Galanta,Soročinová L.,"Malokarpatské múzeum v Pezinku, Sabov A.",Malokarpatské múzeum v Pezinku,,"Doba halštatská, Stredovek, Novovek","HA, ST, NV",sídlisko,"Doba halštatská - sídlisko, Stredovek - sídlisko, Novovek - sídlisko",1,TRUE,-1264857.019,-519598.2955,malá
č.a. 31381,21143,2024,2023,nálezová správa - externá,Šamorín,Šamorín,"ul, Gazdovský rad, rekonštrukcia verejného vodovodu",Dunajská Streda,Mlynka M.,"Archeocenter s.r.o., Mlynka M.",Archeocenter s.r.o.,,negatívne,negatívne,,,1,TRUE,-1295112.388,-560092.2673,malá
č.a. 31382,21144,2024,"2020, 2021, 2022, 2023",nálezová správa - externá,Lužianky,Lužianky,Kanalizácia obce III. etapa,Nitra,Iván R.,"Pamarch, s.r.o., Iván R.",Archeocenter s.r.o.,,negatívne,negatívne,,,1,TRUE,-1263816.834,-503807.0745,malá
č.a. 31386,21145,2024,"2019, 2020, 2021, 2022, 2023",nálezová správa - externá,Modra,Modra,"Kaštieľ a park, Horná ul. č. 20, p.č. 373, 5564/2, 5566/1, 5567, 5568, 5569/1",Pezinok,"Vavák J., Choma Soročinová L.","Malokarpatské múzeum v Pezinku, Choma Soročinová L.",Malokarpatské múzeum v Pezinku,,"Stredovek, Novovek","ST-ne, NV-16, NV-17, NV-18, NV-19","sídlisko, areál výrobný","Stredovek - neskorý - sídlisko, Novovek - 16. storočie - areál výrobný, Novovek - 17. storočie - areál výrobný, Novovek - 18. storočie - areál výrobný, Novovek - 19. storočie - areál výrobný, Novovek 20. storočie - areál výrobný",1,TRUE,-1260540.637,-556471.286,veľká
č.a. 31387,21146,2024,2024,nálezová správa - interná,Kečovo,Kečovo,Jaskyňa Čertova diera,Rožňava,Soják M.,Štolcová T.,ArÚ SAV,,,,,Stredovek - 13. storočie,1,TRUE,-1201806.838,-327115.5979,malá
č.a. 31392,21147,2024,2020,nálezová správa - externá,Švábovce,Švábovce,"IBV Sad, p.č. 3/24,31,61,73",Poprad,"Hudáková M., Kučerová M.","Múzeum v Kežmarku, Kučerová M., Múzeum Spiša, Hudáková M., Hudák M.","Múzeum v Kežmarku, Múzeum Spiša",,"Stredovek, Novovek","ST-13, ST-14, ST-15, NV-17",sídlisko,"Stredovek - 13. storočie - sídlisko, Stredovek - 14. storočie - sídlisko, Stredovek - 15. storočie - sídlisko, Novovek - 17. storočie - sídlisko",1,TRUE,-1295153.011,-560044.1105,veľká
č.a. 31393,21148,2024,2017,nálezová správa - externá,Kežmarok,Kežmarok,"Wellness Hviezdoslav, Kostolné námestie Kežmarok, NKP dom, p.č. 367, 368",Kežmarok,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,"Stredovek, Novovek","ST-ne, NV-16, NV-17, NV-18, NV-19",sídlisko,"Stredovek neskorý - sídlisko, Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,TRUE,-1190143.457,-320925.3142,veľká
č.a. 31394,21149,2024,"2012, 2020",nálezová správa - externá,Kežmarok,Kežmarok,"Objekt č. 33 na Hlavnom námestí, p.č. 366/1",Kežmarok,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,"Stredovek, Novovek","ST-14, ST-15, NV-16, NV-17, NV-18, NV-19",sídlisko,"Stredovek - 14. storočie - sídlisko, Stredovek - 15. storočie - sídlisko, Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,TRUE,-1190157.578,-320936.5997,veľká
č.a. 31395,21150,2024,2022,nálezová správa - externá,Kežmarok,Kežmarok,"Kušnierska brána349/2, p.č. 101",Kežmarok,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,"Stredovek, Novovek","ST-13, ST-14, ST-15, NV-18, NV-19",sídlisko,"Stredovek - 13. storočie - sídlisko, Stredovek - 14. storočie - sídlisko, Stredovek - 15. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,TRUE,-1190102.951,-321198.4889,veľká
č.a. 31396,21151,2024,2023,nálezová správa - externá,Kežmarok,Kežmarok,"Kežmarok-Spišská Belá, Optická sieť HGdata",Kežmarok,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,negatívne,negatívne,,,1,TRUE,-1187209.403,-319815.834,veľká
č.a. 31397,21152,2024,2020,nálezová správa - externá,Veľká Lomnica,Veľká Lomnica,"Kostol sv. Kataríny, chodník, p.č. 1/1",Kežmarok,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,"Stredovek, Novovek",NV-19,pohrebisko,"Stredovek - pohrebisko, Novovek - 19. storočie - pohrebisko",1,TRUE,-1192700.746,-326131.1667,malá
č.a. 31398,21153,2024,2021,nálezová správa - externá,Dravce,Dravce,"Kostol Sv. Alžbety, p.č. 1",Levoča,Kučerová M.,"Múzeum v Kežmarku, Kučerová M.",Múzeum v Kežmarku,,"Stredovek, Novovek","ST-12, ST-13, ST-14, ST-15, NV-16, NV-17, NV-18","areál kultový, pohrebisko","Stredovek - areál kultový, Stredovek - pohrebisko, Novovek - areál kultový, Novovek - pohrebisko",1,TRUE,-1203441.096,-317638.0098,veľká
č.a. 31401,21154,2024,"2023, 2024",nálezová správa - externá,Modrany,Modrany,"FTVE, p.č. 3537/2",Komárno,Iván R.,"Pamarch s.r.o., Iván R.",,,negatívne,negatívne,,,1,TRUE,-1325746.566,-483309.0605,malá
č.a. 31402,21155,2024,2023,nálezová správa - externá,Trnava,Trnava,"Kopánka, RD, p.č. 4022/444",Trnava,Ölvecky R.,"Pamarch s.r.o., Ölvecky",,,"Doba halštatská, Doba laténska, Novovek, Nedatovateľné","HA, LT, NV, NX",sídlisko,,1,TRUE,-1256451.866,-535792.1462,malá
č.a. 31055,21156,2023,2023,nálezová správa - interná,Sereď,Sereď,"Nákupné centrum Prúdy, p.č. 3849/1,10,218,259–272, 559, 560/201",Galanta,Bobek P.,"Bobek P., Murín I.",,6/2023,"Pravek, Eneolit-mladý, Stredovek, Stredovek-vrcholný, Novovek, Nedatovateľné","PK, EN-ml, ST, ST-vr, NV, NV-18, NV-19, NV-20, NX","sídlisko, neurčiteľné",,1,TRUE,-1267639.803,-526192.3539,veľká
č.a. 31235,21157,2023,"2023, 2024",nálezová správa - interná,Veľké Janíkovce,Nitra,"Horné lúky, Obnova strojnotechnologickej časti HSČ, p.č. 1089/4",Nitra,Bobek P.,Bobek P.,,75/2023,Nedatovateľné,NX,sídlisko,,1,TRUE,-1272986.948,-498247.8536,malá
č.a. 29636,21158,2018,2018,nálezová správa - interná,Úľany nad Žitavou,Úľany nad Žitavou,"Dolné Diely, p.č. 961/1",Nové Zámky,Cheben I.,"Cheben I., Bistáková A., Furholt M.",,72/2018,"Neolit-lin.ker.ml., Ne-želiezovská","NE-lm, NE-ze",sídlisko,,1,TRUE,-1293625.355,-490265.6895,malá
č.a. 31208,21159,2023,2023,nálezová správa - interná,Topoľčianky,Topoľčianky,"SO 05 elektrifikácia a osvetlenie parku, p.č. 332/3, 341/2,4,5, 361/1,2..",Zlaté Moravce,Milová B.,"Milová B., Nezvalová L.",,43/2023,Eneolit-badenská,EN-ba,neurčiteľné,,1,TRUE,-1258992.051,-474268.1196,malá
č.a. 31230,21160,2023,2023,nálezová správa - interná,Topoľčianky,Topoľčianky,"Park, SO 04, rekonštrukcia oplotenia parku, p.č. 361/1",Zlaté Moravce,Milová B.,"Milová B., Nezvalová L.",,72/2023,negatívne,negatívne,,,1,TRUE,-1259039.822,-474536.043,malá
č.a. 31167,21161,2023,2023,nálezová správa - interná,Pác,Cífer,"Archeopark Cífer Pác, p.č. 324, 326, 333",Trnava,Milová B.,"Milová B., Nezvalová L.",,31/2023,negatívne,negatívne,,,1,TRUE,-1266255.081,-541947.1432,malá
č.a. 30772,21162,2022,"2022, 2023",nálezová správa - interná,Chrenová,Nitra,"Bytový dom, Za Humnami, p.č. 306-310",Nitra,Milová B.,"Milová B., Nezvalová L.",,5/2022,negatívne,negatívne,,,1,TRUE,-1269054.939,-497754.9696,malá
č.a. 31218,21163,2023,2023,nálezová správa - interná,Želiezovce,Želiezovce,"Okrúhly majer, p.č. 4314/1",Levice,Cheben M.,"Cheben M., Chebenová P.",,68/2023,"Doba laténska, Doba rímska","LT, RI","sídlisko, pohrebisko",,1,TRUE,-1300872.408,-466131.7053,malá
č.a. 31384,21164,2024,2024,nálezová správa - interná,Tekovské Lužany,Tekovské Lužany,"Veľká Pažiť, Veľký Chlm",Levice,Cheben M.,"Cheben M., Chebenová P.",ArÚ SAV,30/2024,"Doba laténska, Doba rímska, Stredovek","LT, RI, ST",sídlisko,"Doba laténska - sídlisko, Doba rímska - sídlisko, Stredovek - sídlisko",1,TRUE,-1299649.474,-467053.8242,malá
č.a. 31356,21165,2024,2024,nálezová správa - interná,Ostrá Lúka,Ostrá Lúka,"Kostol Zjavenia pána, p.č. 213",Zvolen,Beljak J.,"Beljak J., Debnár P.",ArÚ SAV,9/2024,"Stredovek, Novovek","ST, NV",areál kultový,"Stredovek - areál kultový, Novovek - areál kultový",1,TRUE,-1249138.382,-425963.4939,malá
č.a. 31034,21166,2023,2023,nálezová správa - interná,Valaliky,Valaliky,"Strategické územie Valaliky, VIP 1, p.č. 1300/164",Košice - okolie,"Luštíková L., Vojteček M., Cheben M.","Luštíková L., Vojteček M., Cheben M., Gašpar A.",,1/2023,"Eneolit, Doba bronzová, Doba halštatská, Doba rímska, Stredovek","EN-ba, BZ, HA-vg, RI-ne, ST-10, ST-vc, ST-vr","sídlisko, pohrebisko",,1,TRUE,-1249035.256,-261271.5846,veľká
č.a. 31403,21167,2024,"2022, 2023",nálezová správa - externá,Bánov,Bánov,"Rozšírenie kanalizácie II., III., IV. etapa",Nové Zámky,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",,,"Pravek, Neolit, Doba rímska, Novobek","PK, NE-lg, RI, NV-16, NV-17, NV-18, NV-19, NV-20",sídlisko,,1,TRUE,-1299301.267,-494133.1655,veľká
č.a. 31406,21168,2024,2023,nálezová správa - externá,Stráže nad Myjavou,Šaštín - Stráže,"RD, p.č. 294/20",Senica,Ölvecky R.,"Pamarch s.r.o., Ölvecky R.",,,"Stredovek, Novovek","ST-13, NV-20","nález ojedinelý, sídlisko",,1,TRUE,-1226113.039,-565605.6873,malá
č.a. 31412,21169,2024,"2022, 2023",nálezová správa - externá,Revúca,Revúca,"Premena Prvého slovenského literárneho gymnázia, Ul. Železničná, p.č. 819, 816/1-4, 817, 818",Revúca,Botoš A.,"Gemersko-Malohontské múzeum, Botoš A.",,,"Novovek-19.stor., Novovek-20.stor.","NV-19, NV-20",neurčiteľné,,1,TRUE,-1239433.848,-347240.4923,veľká
č.a. 31413,21170,2024,2023,nálezová správa - externá,Kyjatice,Kyjatice,"Stará škola-rekonštrukcia-kanalizácia a žumpa, elektrická prípojka NN káblová, p.č. 5, 2/3, 4",Rimavská Sobota,Botoš A.,"Gemersko-Malohontské múzeum, Botoš A.",,,negatívne,negatívne,,,1,TRUE,-1255625.586,-355747.3174,malá
č.a. 31415,21171,2024,"2022, 2023",nálezová správa - externá,Veľké Úľany,Veľké Úľany,"Polyfunkčný objekt, Cintorínska ul., p.š. 194/1-3",Galanta,Horváth I.,"Archeocenter s.r.o., Horváth I.",,,negatívne,negatívne,,,1,TRUE,-1281862.504,-538892.3082,malá
č.a. 31407,21173,2024,2024,nálezová správa - interná,Rimavská Sobota,Rimavská Sobota,"Kľačianské lúky - II.etapa, p.č. 2875/1, 2875/8, 2875/9, 2875/6, 2875/7, 2875/10",Rimavská Sobota,"Vojteček M., Cheben M.",Cheben M.,,38/2024,,,,,1,TRUE,-1269813.542,-358448.1888,malá
č.a. 31408,21174,2024,2023,nálezová správa - interná,Rimavská Sobota,Rimavská Sobota,Kľačanské lúky II. etapa - trafostanica,Rimavská Sobota,"Vojteček M., Cheben M.",Cheben M.,,39/2024,,,,,1,TRUE,-1270357.177,-358551.8088,malá
č.a. 31400,21175,2024,2024,nálezová správa - interná,Trenčianska Teplá,Trenčianska Teplá,"FTTC, Trenčianska Teplá 1150BB, Príles, p.č. 2012/1,4,5,9,11, 1723/4, 2015/2, 2016",Trenčín,Vangľová T.,Vangľová T.,ArÚ SAV,37/2024,negatívne,negatívne,,,1,TRUE,-1198898.4,-489370.3223,malá
č.a. 31209,21176,2023,2023,nálezová správa - interná,Čabradský Vrbovok,Čabradský Vrbovok,"NKP Hrad Čabraď, p.č. 1401/3",Krupina,Debnár P.,"Debnár P., Mordovin M., Rakonczay R.",,63/2023,"Doba bronzová, Stredovek, Novovek","BZ, ST, NV",sídlisko opevnené,,1,TRUE,-1282770.23,-424769.2578,veľká
č.a. 31379,21177,2024,2024,nálezová správa - interná,Nitra I,Nitra,"Horný Palánok, p.č. 55/2, 55/3, 56/1, 56/3",Nitra,Kissová M.,"Kissová M., Bednár P,",ArÚ SAV,28/2024,Novovek-19.stor.,"NV-19, RZ",sídlisko,Novovek - 19. storočie - sídlisko,1,TRUE,-1268675.701,-499305.8169,malá
č.a. 31149,21178,2023,"2023, 2024",nálezová správa - interná,Ipeľské Predmostie,Ipeľské Predmostie,"Novostavba obecných nájomných bytov 16 B. J., p.č. 62/2, 65/4, 74/8,4,5, 79/1-3,5, 80/2, 82/1....",Veľký Krtíš,Debnár P.,Debnár P.,,25/2023,Novovek,"NV-19, NV-20",sídlisko,,1,TRUE,-1302685.781,-430185.5416,malá
č.a. 31053,21179,2023,2023,nálezová správa - interná,Budča,Budča,Konopiská,Zvolen,Beljak J.,Beljak J.,,5/2023,"Pravek, Stredovek, Novovek","EN, BZ, ST, NV",sídlisko,,1,TRUE,-1246730.205,-424841.4829,malá
č.a. 31373,21180,2024,2024,nálezová správa - interná,Veľký Lapáš,Veľký Lapáš,"F2BTS-FO-0142BR, Pri kaplnke, Doliny, Kraliny",Nitra,Bobek P.,Bobek P.,ArÚ SAV,25/2024,negatívne,negatívne,,,1,TRUE,-1272027.502,-493259.8575,malá
č.a. 31256,21181,2023,"2023, 2024",nálezová správa - interná,Topoľčany,Topoľčany,"Škultétyho ulica – rekonštrukcia vodovodu, p.č. 303/1, 304/2",Topoľčany,Milová B.,Milová B.,,89/2023,Novovek,"NV-19, NV-20",sídlisko,,1,TRUE,-1242292.393,-490871.963,malá
č.a. 31345,21182,2024,2024,nálezová správa - interná,Zvolen,Zvolen,"Rekonštrukcia RD, T. G. Masaryka, p.č. 2324/46",Zvolen,Debnár P.,Debnár P.,ArÚ SAV,7/2024,Doba bronzová-lužická,BZ-lu,pohrebisko,Doba bronzová - lužická - pohrebisko,1,TRUE,-1246761.024,-421298.5982,malá
č.a. 31425,21183,2024,2024,nálezová správa - interná,Dvory nad Žitavou,Dvory nad Žitavou,Pri novozámockom chotári,Nové Zámky,Cheben M.,"Cheben M., Chebenová P.",,52/2024,"Doba bronzová, Doba halštatská, Doba laténska, Doba rímska, Stredovek","BZ-ne, HA, LT, RI, ST",sídlisko,,1,TRUE,-1302218.662,-490417.2449,malá
č.a. 31391,21184,2024,2024,nálezová správa - interná,Jasová,Jasová,"F2BTS-FO - 1322BR Jasová“, Pod záhradami, Izbík, Od Kolty",Nové Zámky,Cheben M.,"Cheben M., Chebenová P.",ArÚ SAV,35/2024,negatívne,negatívne,,,1,TRUE,-1306232.293,-481630.8845,malá
č.a. 31378,21185,2024,2024,nálezová správa - interná,Veľký Meder,Veľký Meder,"OC, Mostová ul., p.č. 1462/1",Dunajská Streda,Cheben M.,"Cheben M., Chebenová P.",ArÚ SAV,27/2024,negatívne,negatívne,,,1,TRUE,-1316150.188,-528376.3848,malá
č.a. 30921,21186,2022,"2022, 2023, 2024",nálezová správa - interná,Velčice,Velčice,"Rozšírenie vodovodu a kanalizácie IBV Veľká Stráň, p.č. 209/1; 586/1, 2; 721/2",Zlaté Moravce,Cheben M.,"Bobek P., Cheben M.",,47/2022,Pravek,PK,neurčiteľné,,1,TRUE,-1259290.958,-482364.3098,malá
č.a. 31071,21187,2023,2023,nálezová správa - interná,Valaliky,Valaliky,"Pri Rádiu, nálezisko 2 - Vŕbová pustatina, p.č. 1300/164",Košice - okolie,"Vojteček M., Cheben M.","Gašpar A., Olšav Š., Vojteček M., Cheben M.",,14/2023,"Eneolit-badenská, Doba bronzová-otomanská, Doba bronzová-pilinská, Stredovek","EN-ba, BZ-pi, BZ-ot, ST","sídlisko, pohrebisko",,1,TRUE,-1249064.892,-262332.1925,veľká
č.a. 30919,21188,2022,2022,nálezová správa - interná,Ružín,Malá Lodina,"Za Spáleným vrchom, Skalný previs Miriama, p.č. 288/2",Košice - okolie,"Soják M., Nemergut A.","Soják M., Nemergut A., Lisá L., Hajnalová M., Čeklovský T., Obuch J., Orvošová M., Čejka T.",,45/2022,"Mezolit, Neolit-bukovohorská, Eneolit","ME, NE-bu, EN",sídlisko,,1,TRUE,-1226019.202,-272349.8664,malá
č.a. 31164,21188,2023,2023,nálezová správa - interná,Ružín,Malá Lodina,"Za Spáleným vrchom, Skalný previs Miriama, p.č. 288/2",Košice - okolie,"Soják M., Nemergut A.","Soják M., Nemergut A., Lisá L., Hajnalová M., Čeklovský T., Obuch J., Orvošová M., Čejka T.",,29/2023,"Mezolit, Neolit-bukovohorská, Eneolit","ME, NE-bu, EN",sídlisko,,1,TRUE,-1226019.202,-272349.8664,malá
č.a. 30628,21189,2021,2021,nálezová správa - interná,Staré Mesto,Bratislava - Staré Mesto,Bratislavský hrad,Bratislava I,Murín I.,Murín I.,,92/2021,,,,,1,TRUE,-1281021.86,-574186.6431,malá
č.a. 31192,21190,2023,2022,nálezová správa - interná,Bojná,Bojná,Bojná I,Topoľčany,Murín I.,Murín I.,,48/2023,,,,,1,TRUE,-1235192.261,-503157.3095,malá
č.a. 31193,21191,2023,2022,nálezová správa - interná,Bojná,Bojná,Bojná II,Topoľčany,Murín I.,Murín I.,,49/2023,,,,,1,TRUE,-1233956.841,-501434.4832,malá
č.a. 31195,21192,2023,2022,nálezová správa - interná,Nitrianske Hrnčiarovce,Nitrianske Hrnčiarovce,,Nitra,Murín I.,Murín I.,,51/2023,,,,,1,TRUE,-1266311.69,-496671.8935,malá
č.a. 31197,21193,2023,2022,nálezová správa - interná,Nitra I,Nitra,Hrad,Nitra,Murín I.,Murín I.,,53/2023,,,,,1,TRUE,-1268515.169,-499541.7637,malá
č.a. 31199,21194,2023,2022,nálezová správa - interná,Malé Kozmálovce,Malé Kozmálovce,Hradisko Plešovica,Levice,Murín I.,Murín I.,,55/2023,,,,,1,TRUE,-1274452.632,-468763.4384,malá
č.a. 31200,21195,2023,2022,nálezová správa - interná,Rakša,Rakša,Hradisko,Turčianske Teplice,Murín I.,Murín I.,,56/2023,,,,,1,TRUE,-1210959.335,-434550.5874,malá
č.a. 31203,21196,2023,2022,nálezová správa - interná,Starý Tekov,Starý Tekov,Hradisko,Levice,Murín I.,Murín I.,,59/2023,,,,,1,TRUE,-1279179.402,-466969.2129,malá
č.a. 31423,21197,2024,2024,nálezová správa - interná,Vozokany (okres Topoľčany),Vozokany,"Marhát, JV úpätie",Topoľčany,Pieta K.,Pieta K.,,50/2024,,,,,1,TRUE,-1237516.591,-504382.0537,malá
č.a. 31424,21198,2024,2024,nálezová správa - interná,Nitrianska Blatnica,Nitrianska Blatnica,"Kaplnka sv. Juraja, Kameň",Topoľčany,Pieta K.,Pieta K.,,51/2024,,,,,1,TRUE,-1237995.665,-505779.9236,malá
č.a. 31422,21199,2024,2024,nálezová správa - interná,Bojná,Bojná,"Valy, Heťkova dolina, Dubodiel, V predpolie",Topoľčany,Pieta K.,"Pieta K., Jakubčinová",,49/2024,,,,,1,TRUE,-1235279.734,-502741.7072,malá
č.a. 31456,21200,2024,2024,nálezová správa - externá,Opatová (obec Lučenec),Lučenec,"RD, p.č. 30/2, 31/1",Lučenec,Hrašková E.,"Ithaka BB, s.r.o., Hrašková E.",,,negatívne,negatívne,,,1,TRUE,-1274717.516,-381594.3304,malá
č.a. 31457,21201,2024,2023,nálezová správa - externá,Bohatá,Hurbanovo,"Jednota COOP, Novozámocká č. 48",Komárno,Gereová M.,"ARCHAEOJEDI, s.r.o., Žundálek I.",,,"Pravek, Neolit, Novovek-19.stor.","PK, NE, NV",sídlisko,,1,TRUE,-1316918.871,-495357.9604,malá
č.a. 31458,21202,2024,2023,nálezová správa - externá,Hlohovec,Hlohovec,"IBV Lipiny III, p.č. 7055/1",Hlohovec,Žaár O.,"Pamarch s.r.o., Žaár O., Žaárová Ľ.",,,"Pravek, Novovek","PK, NV-19, NV-20",neurčiteľné,,1,TRUE,-1255579.831,-519683.4718,malá
